customerid,customername,customersegment,country,city
1,Customer 1,Segment A,Country B,City D
2,Customer 2,Segment B,Country A,City C
3,Customer 3,Segment A,Country B,City C
4,Customer 4,Segment C,Country A,City C
5,Customer 5,Segment B,Country B,City E
6,Customer 6,Segment A,Country C,City B
7,Customer 7,Segment A,Country A,City C
8,Customer 8,Segment C,Country B,City E
9,Customer 9,Segment A,Country B,City D
10,Customer 10,Segment C,Country B,City E
11,Customer 11,Segment C,Country C,City C
12,Customer 12,Segment B,Country C,City B
13,Customer 13,Segment C,Country C,City B
14,Customer 14,Segment C,Country B,City D
15,Customer 15,Segment C,Country A,City D
16,Customer 16,Segment A,Country C,City B
17,Customer 17,Segment C,Country A,City C
18,Customer 18,Segment B,Country A,City C
19,Customer 19,Segment A,Country C,City E
20,Customer 20,Segment C,Country C,City C
21,Customer 21,Segment C,Country B,City E
22,Customer 22,Segment C,Country A,City E
23,Customer 23,Segment A,Country C,City D
24,Customer 24,Segment C,Country B,City A
25,Customer 25,Segment B,Country A,City B
26,Customer 26,Segment A,Country C,City A
27,Customer 27,Segment B,Country C,City D
28,Customer 28,Segment B,Country B,City D
29,Customer 29,Segment A,Country A,City C
30,Customer 30,Segment B,Country B,City A
31,Customer 31,Segment A,Country A,City C
32,Customer 32,Segment C,Country C,City E
33,Customer 33,Segment B,Country B,City A
34,Customer 34,Segment C,Country A,City D
35,Customer 35,Segment B,Country C,City E
36,Customer 36,Segment A,Country A,City B
37,Customer 37,Segment C,Country B,City C
38,Customer 38,Segment A,Country C,City E
39,Customer 39,Segment A,Country A,City D
40,Customer 40,Segment B,Country C,City C
41,Customer 41,Segment B,Country A,City A
42,Customer 42,Segment B,Country B,City A
43,Customer 43,Segment B,Country B,City C
44,Customer 44,Segment A,Country B,City A
45,Customer 45,Segment B,Country A,City A
46,Customer 46,Segment B,Country B,City C
47,Customer 47,Segment C,Country C,City C
48,Customer 48,Segment C,Country B,City A
49,Customer 49,Segment B,Country C,City B
50,Customer 50,Segment A,Country A,City E
51,Customer 51,Segment C,Country C,City B
52,Customer 52,Segment A,Country B,City B
53,Customer 53,Segment B,Country A,City A
54,Customer 54,Segment A,Country B,City A
55,Customer 55,Segment C,Country C,City D
56,Customer 56,Segment A,Country C,City E
