dateid,date,dayofweek,month,year,quarter
1,2020-01-01,Wednesday,1,2020,1
2,2020-01-02,Thursday,1,2020,1
3,2020-01-03,Friday,1,2020,1
4,2020-01-04,Saturday,1,2020,1
5,2020-01-05,Sunday,1,2020,1
6,2020-01-06,Monday,1,2020,1
7,2020-01-07,Tuesday,1,2020,1
8,2020-01-08,Wednesday,1,2020,1
9,2020-01-09,Thursday,1,2020,1
10,2020-01-10,Friday,1,2020,1
11,2020-01-11,Saturday,1,2020,1
12,2020-01-12,Sunday,1,2020,1
13,2020-01-13,Monday,1,2020,1
14,2020-01-14,Tuesday,1,2020,1
15,2020-01-15,Wednesday,1,2020,1
16,2020-01-16,Thursday,1,2020,1
17,2020-01-17,Friday,1,2020,1
18,2020-01-18,Saturday,1,2020,1
19,2020-01-19,Sunday,1,2020,1
20,2020-01-20,Monday,1,2020,1
21,2020-01-21,Tuesday,1,2020,1
22,2020-01-22,Wednesday,1,2020,1
23,2020-01-23,Thursday,1,2020,1
24,2020-01-24,Friday,1,2020,1
25,2020-01-25,Saturday,1,2020,1
26,2020-01-26,Sunday,1,2020,1
27,2020-01-27,Monday,1,2020,1
28,2020-01-28,Tuesday,1,2020,1
29,2020-01-29,Wednesday,1,2020,1
30,2020-01-30,Thursday,1,2020,1
31,2020-01-31,Friday,1,2020,1
32,2020-02-01,Saturday,2,2020,1
33,2020-02-02,Sunday,2,2020,1
34,2020-02-03,Monday,2,2020,1
35,2020-02-04,Tuesday,2,2020,1
36,2020-02-05,Wednesday,2,2020,1
37,2020-02-06,Thursday,2,2020,1
38,2020-02-07,Friday,2,2020,1
39,2020-02-08,Saturday,2,2020,1
40,2020-02-09,Sunday,2,2020,1
41,2020-02-10,Monday,2,2020,1
42,2020-02-11,Tuesday,2,2020,1
43,2020-02-12,Wednesday,2,2020,1
44,2020-02-13,Thursday,2,2020,1
45,2020-02-14,Friday,2,2020,1
46,2020-02-15,Saturday,2,2020,1
47,2020-02-16,Sunday,2,2020,1
48,2020-02-17,Monday,2,2020,1
49,2020-02-18,Tuesday,2,2020,1
50,2020-02-19,Wednesday,2,2020,1
51,2020-02-20,Thursday,2,2020,1
52,2020-02-21,Friday,2,2020,1
53,2020-02-22,Saturday,2,2020,1
54,2020-02-23,Sunday,2,2020,1
55,2020-02-24,Monday,2,2020,1
56,2020-02-25,Tuesday,2,2020,1
57,2020-02-26,Wednesday,2,2020,1
58,2020-02-27,Thursday,2,2020,1
59,2020-02-28,Friday,2,2020,1
60,2020-02-29,Saturday,2,2020,1
61,2020-03-01,Sunday,3,2020,1
62,2020-03-02,Monday,3,2020,1
63,2020-03-03,Tuesday,3,2020,1
64,2020-03-04,Wednesday,3,2020,1
65,2020-03-05,Thursday,3,2020,1
66,2020-03-06,Friday,3,2020,1
67,2020-03-07,Saturday,3,2020,1
68,2020-03-08,Sunday,3,2020,1
69,2020-03-09,Monday,3,2020,1
70,2020-03-10,Tuesday,3,2020,1
71,2020-03-11,Wednesday,3,2020,1
72,2020-03-12,Thursday,3,2020,1
73,2020-03-13,Friday,3,2020,1
74,2020-03-14,Saturday,3,2020,1
75,2020-03-15,Sunday,3,2020,1
76,2020-03-16,Monday,3,2020,1
77,2020-03-17,Tuesday,3,2020,1
78,2020-03-18,Wednesday,3,2020,1
79,2020-03-19,Thursday,3,2020,1
80,2020-03-20,Friday,3,2020,1
81,2020-03-21,Saturday,3,2020,1
82,2020-03-22,Sunday,3,2020,1
83,2020-03-23,Monday,3,2020,1
84,2020-03-24,Tuesday,3,2020,1
85,2020-03-25,Wednesday,3,2020,1
86,2020-03-26,Thursday,3,2020,1
87,2020-03-27,Friday,3,2020,1
88,2020-03-28,Saturday,3,2020,1
89,2020-03-29,Sunday,3,2020,1
90,2020-03-30,Monday,3,2020,1
91,2020-03-31,Tuesday,3,2020,1
92,2020-04-01,Wednesday,4,2020,2
93,2020-04-02,Thursday,4,2020,2
94,2020-04-03,Friday,4,2020,2
95,2020-04-04,Saturday,4,2020,2
96,2020-04-05,Sunday,4,2020,2
97,2020-04-06,Monday,4,2020,2
98,2020-04-07,Tuesday,4,2020,2
99,2020-04-08,Wednesday,4,2020,2
100,2020-04-09,Thursday,4,2020,2
101,2020-04-10,Friday,4,2020,2
102,2020-04-11,Saturday,4,2020,2
103,2020-04-12,Sunday,4,2020,2
104,2020-04-13,Monday,4,2020,2
105,2020-04-14,Tuesday,4,2020,2
106,2020-04-15,Wednesday,4,2020,2
107,2020-04-16,Thursday,4,2020,2
108,2020-04-17,Friday,4,2020,2
109,2020-04-18,Saturday,4,2020,2
110,2020-04-19,Sunday,4,2020,2
111,2020-04-20,Monday,4,2020,2
112,2020-04-21,Tuesday,4,2020,2
113,2020-04-22,Wednesday,4,2020,2
114,2020-04-23,Thursday,4,2020,2
115,2020-04-24,Friday,4,2020,2
116,2020-04-25,Saturday,4,2020,2
117,2020-04-26,Sunday,4,2020,2
118,2020-04-27,Monday,4,2020,2
119,2020-04-28,Tuesday,4,2020,2
120,2020-04-29,Wednesday,4,2020,2
121,2020-04-30,Thursday,4,2020,2
122,2020-05-01,Friday,5,2020,2
123,2020-05-02,Saturday,5,2020,2
124,2020-05-03,Sunday,5,2020,2
125,2020-05-04,Monday,5,2020,2
126,2020-05-05,Tuesday,5,2020,2
127,2020-05-06,Wednesday,5,2020,2
128,2020-05-07,Thursday,5,2020,2
129,2020-05-08,Friday,5,2020,2
130,2020-05-09,Saturday,5,2020,2
131,2020-05-10,Sunday,5,2020,2
132,2020-05-11,Monday,5,2020,2
133,2020-05-12,Tuesday,5,2020,2
134,2020-05-13,Wednesday,5,2020,2
135,2020-05-14,Thursday,5,2020,2
136,2020-05-15,Friday,5,2020,2
137,2020-05-16,Saturday,5,2020,2
138,2020-05-17,Sunday,5,2020,2
139,2020-05-18,Monday,5,2020,2
140,2020-05-19,Tuesday,5,2020,2
141,2020-05-20,Wednesday,5,2020,2
142,2020-05-21,Thursday,5,2020,2
143,2020-05-22,Friday,5,2020,2
144,2020-05-23,Saturday,5,2020,2
145,2020-05-24,Sunday,5,2020,2
146,2020-05-25,Monday,5,2020,2
147,2020-05-26,Tuesday,5,2020,2
148,2020-05-27,Wednesday,5,2020,2
149,2020-05-28,Thursday,5,2020,2
150,2020-05-29,Friday,5,2020,2
151,2020-05-30,Saturday,5,2020,2
152,2020-05-31,Sunday,5,2020,2
153,2020-06-01,Monday,6,2020,2
154,2020-06-02,Tuesday,6,2020,2
155,2020-06-03,Wednesday,6,2020,2
156,2020-06-04,Thursday,6,2020,2
157,2020-06-05,Friday,6,2020,2
158,2020-06-06,Saturday,6,2020,2
159,2020-06-07,Sunday,6,2020,2
160,2020-06-08,Monday,6,2020,2
161,2020-06-09,Tuesday,6,2020,2
162,2020-06-10,Wednesday,6,2020,2
163,2020-06-11,Thursday,6,2020,2
164,2020-06-12,Friday,6,2020,2
165,2020-06-13,Saturday,6,2020,2
166,2020-06-14,Sunday,6,2020,2
167,2020-06-15,Monday,6,2020,2
168,2020-06-16,Tuesday,6,2020,2
169,2020-06-17,Wednesday,6,2020,2
170,2020-06-18,Thursday,6,2020,2
171,2020-06-19,Friday,6,2020,2
172,2020-06-20,Saturday,6,2020,2
173,2020-06-21,Sunday,6,2020,2
174,2020-06-22,Monday,6,2020,2
175,2020-06-23,Tuesday,6,2020,2
176,2020-06-24,Wednesday,6,2020,2
177,2020-06-25,Thursday,6,2020,2
178,2020-06-26,Friday,6,2020,2
179,2020-06-27,Saturday,6,2020,2
180,2020-06-28,Sunday,6,2020,2
181,2020-06-29,Monday,6,2020,2
182,2020-06-30,Tuesday,6,2020,2
183,2020-07-01,Wednesday,7,2020,3
184,2020-07-02,Thursday,7,2020,3
185,2020-07-03,Friday,7,2020,3
186,2020-07-04,Saturday,7,2020,3
187,2020-07-05,Sunday,7,2020,3
188,2020-07-06,Monday,7,2020,3
189,2020-07-07,Tuesday,7,2020,3
190,2020-07-08,Wednesday,7,2020,3
191,2020-07-09,Thursday,7,2020,3
192,2020-07-10,Friday,7,2020,3
193,2020-07-11,Saturday,7,2020,3
194,2020-07-12,Sunday,7,2020,3
195,2020-07-13,Monday,7,2020,3
196,2020-07-14,Tuesday,7,2020,3
197,2020-07-15,Wednesday,7,2020,3
198,2020-07-16,Thursday,7,2020,3
199,2020-07-17,Friday,7,2020,3
200,2020-07-18,Saturday,7,2020,3
201,2020-07-19,Sunday,7,2020,3
202,2020-07-20,Monday,7,2020,3
203,2020-07-21,Tuesday,7,2020,3
204,2020-07-22,Wednesday,7,2020,3
205,2020-07-23,Thursday,7,2020,3
206,2020-07-24,Friday,7,2020,3
207,2020-07-25,Saturday,7,2020,3
208,2020-07-26,Sunday,7,2020,3
209,2020-07-27,Monday,7,2020,3
210,2020-07-28,Tuesday,7,2020,3
211,2020-07-29,Wednesday,7,2020,3
212,2020-07-30,Thursday,7,2020,3
213,2020-07-31,Friday,7,2020,3
214,2020-08-01,Saturday,8,2020,3
215,2020-08-02,Sunday,8,2020,3
216,2020-08-03,Monday,8,2020,3
217,2020-08-04,Tuesday,8,2020,3
218,2020-08-05,Wednesday,8,2020,3
219,2020-08-06,Thursday,8,2020,3
220,2020-08-07,Friday,8,2020,3
221,2020-08-08,Saturday,8,2020,3
222,2020-08-09,Sunday,8,2020,3
223,2020-08-10,Monday,8,2020,3
224,2020-08-11,Tuesday,8,2020,3
225,2020-08-12,Wednesday,8,2020,3
226,2020-08-13,Thursday,8,2020,3
227,2020-08-14,Friday,8,2020,3
228,2020-08-15,Saturday,8,2020,3
229,2020-08-16,Sunday,8,2020,3
230,2020-08-17,Monday,8,2020,3
231,2020-08-18,Tuesday,8,2020,3
232,2020-08-19,Wednesday,8,2020,3
233,2020-08-20,Thursday,8,2020,3
234,2020-08-21,Friday,8,2020,3
235,2020-08-22,Saturday,8,2020,3
236,2020-08-23,Sunday,8,2020,3
237,2020-08-24,Monday,8,2020,3
238,2020-08-25,Tuesday,8,2020,3
239,2020-08-26,Wednesday,8,2020,3
240,2020-08-27,Thursday,8,2020,3
241,2020-08-28,Friday,8,2020,3
242,2020-08-29,Saturday,8,2020,3
243,2020-08-30,Sunday,8,2020,3
244,2020-08-31,Monday,8,2020,3
245,2020-09-01,Tuesday,9,2020,3
246,2020-09-02,Wednesday,9,2020,3
247,2020-09-03,Thursday,9,2020,3
248,2020-09-04,Friday,9,2020,3
249,2020-09-05,Saturday,9,2020,3
250,2020-09-06,Sunday,9,2020,3
251,2020-09-07,Monday,9,2020,3
252,2020-09-08,Tuesday,9,2020,3
253,2020-09-09,Wednesday,9,2020,3
254,2020-09-10,Thursday,9,2020,3
255,2020-09-11,Friday,9,2020,3
256,2020-09-12,Saturday,9,2020,3
257,2020-09-13,Sunday,9,2020,3
258,2020-09-14,Monday,9,2020,3
259,2020-09-15,Tuesday,9,2020,3
260,2020-09-16,Wednesday,9,2020,3
261,2020-09-17,Thursday,9,2020,3
262,2020-09-18,Friday,9,2020,3
263,2020-09-19,Saturday,9,2020,3
264,2020-09-20,Sunday,9,2020,3
265,2020-09-21,Monday,9,2020,3
266,2020-09-22,Tuesday,9,2020,3
267,2020-09-23,Wednesday,9,2020,3
268,2020-09-24,Thursday,9,2020,3
269,2020-09-25,Friday,9,2020,3
270,2020-09-26,Saturday,9,2020,3
271,2020-09-27,Sunday,9,2020,3
272,2020-09-28,Monday,9,2020,3
273,2020-09-29,Tuesday,9,2020,3
274,2020-09-30,Wednesday,9,2020,3
275,2020-10-01,Thursday,10,2020,4
276,2020-10-02,Friday,10,2020,4
277,2020-10-03,Saturday,10,2020,4
278,2020-10-04,Sunday,10,2020,4
279,2020-10-05,Monday,10,2020,4
280,2020-10-06,Tuesday,10,2020,4
281,2020-10-07,Wednesday,10,2020,4
282,2020-10-08,Thursday,10,2020,4
283,2020-10-09,Friday,10,2020,4
284,2020-10-10,Saturday,10,2020,4
285,2020-10-11,Sunday,10,2020,4
286,2020-10-12,Monday,10,2020,4
287,2020-10-13,Tuesday,10,2020,4
288,2020-10-14,Wednesday,10,2020,4
289,2020-10-15,Thursday,10,2020,4
290,2020-10-16,Friday,10,2020,4
291,2020-10-17,Saturday,10,2020,4
292,2020-10-18,Sunday,10,2020,4
293,2020-10-19,Monday,10,2020,4
294,2020-10-20,Tuesday,10,2020,4
295,2020-10-21,Wednesday,10,2020,4
296,2020-10-22,Thursday,10,2020,4
297,2020-10-23,Friday,10,2020,4
298,2020-10-24,Saturday,10,2020,4
299,2020-10-25,Sunday,10,2020,4
300,2020-10-26,Monday,10,2020,4
301,2020-10-27,Tuesday,10,2020,4
302,2020-10-28,Wednesday,10,2020,4
303,2020-10-29,Thursday,10,2020,4
304,2020-10-30,Friday,10,2020,4
305,2020-10-31,Saturday,10,2020,4
306,2020-11-01,Sunday,11,2020,4
307,2020-11-02,Monday,11,2020,4
